Geo point;GENRE;ESPECE;ADRESSE;IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;OBJECTID;LIBELLEFRANCAIS
48.8338187551,2.41121935815;Platanus;x hispanica;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;2002366.0;Arbre;Jardin;BOIS DE VINCENNES;déc-14;;déc-14;482.0;26.0;M;Inconnue;;1860-01-01T01:02:49+00:53;1;37849;Platane
48.8200711234,2.43516626469;Catalpa;bignonioides;PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE DU MOULIN ROUGE;2002399.0;Arbre;Jardin;BOIS DE VINCENNES;déc-38;;déc-38;289.0;10.0;M;Inconnue;;2000-01-01T02:00:00+01:00;1;51709;Catalpa
48.8633907267,2.24048112696;Cedrus;libani;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;2002348.0;Arbre;Jardin;BOIS DE BOULOGNE;16-sept;;301002;468.0;25.0;M;Inconnue;;1862-01-01T01:02:49+00:53;1;131598;CÃ¨dre
48.8648104138,2.23370602002;Salix;babylonica;ETANG DE SURESNES / ROUTE DE SURESNES - ROUTE DES MOULINS;2009036.0;Arbre;Jardin;BOIS DE BOULOGNE;16-61;;201001;285.0;10.0;M;Inconnue;;1901-01-01T01:09:21+01:00;1;3037;Saule
48.8672280446,2.27026875561;Cedrus;libani;SQUARE CLAUDE DEBUSSY / 51 AVENUE DU MARECHAL FAYOLLE;138935.0;Arbre;Jardin;PARIS 16E ARRDT;16-24;;101001;213.0;6.0;M;Inconnue;''Glauca Pendula'';1700-01-01T01:02:49+00:53;1;15214;CÃ¨dre
48.8876882466,2.31645921238;Platanus;x hispanica;SQUARE DES BATIGNOLLES;135397.0;Arbre;Jardin;PARIS 17E ARRDT;17-oct;;206;595.0;34.0;M;Inconnue;;1850-01-01T01:02:49+00:53;1;22521;Platane
48.8624518436,2.28959099748;Sequoia;sempervirens;JARDIN DU TROCADERO;108277.0;Arbre;Jardin;PARIS 16E ARRDT;;;418;177.0;15.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;164238;Sequoia
48.8946228565,2.3268523785;Liriodendron;tulipifera;SQUARE DES EPINETTES;134212.0;Arbre;Jardin;PARIS 17E ARRDT;17-mars;;134;240.0;17.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;177036;Tulipier
48.8608096279,2.39184377559;Cedrus;libani;CIMETIERE DU PERE LACHAISE / DIV 4;152606.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-16;;D00000004036;372.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;191946;CÃ¨dre
48.8226040554,2.33670121886;Fagus;sylvatica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;113328.0;Arbre;Jardin;PARIS 14E ARRDT;Grande pelouse;;31302006;395.0;28.0;M;Inconnue;''Riversii'';1700-01-01T01:02:49+00:53;1;201692;HÃªtre
