Timer,ID,Station,Code Station,Carte de crédit,Etat de la station,Nb bornes disponibles,Nombres de bornes en station,Nombre vélo en PARK+,Nb vélo mécanique,Nb vélo électrique,Etat kiosque,Overflowactivation,geo
2020-02-08 12:44:01,4a4b85c4542e044adeedf0531b6a1a0bfcb20151,Boétie - Ponthieu,8050,yes,Operative,29,33,0,2,1,yes,no,"[48.871417284354834, 2.307678759098053]"
2020-02-08 12:44:01,bac1b5cd865f3e10e7f31987c07d3d7ac368da66,Théâtre des Amandiers - Palais des sports,92002,no,Operative,4,24,0,10,10,yes,no,"[48.89264852683893, 2.2136941552162175]"
2020-02-08 12:44:01,0bdf774fd14c19588c870cb5823be8d0cf2be799,Vaugirard - Monsieur le Prince,6029,yes,Operative,23,26,0,0,2,yes,no,"[48.848951441614176, 2.3411329463124275]"
2020-02-08 12:44:01,cd1842067e06e5f645e85c2f47166c0c59003a9f,Serrurier,19027,no,Operative,17,18,0,0,1,yes,no,"[48.8804934032465, 2.39806417375803]"
2020-02-08 12:44:01,ae1b38b06fd2bcaa1244175bcbea8f8feff77d78,Verdun - Pierre et Marie Curie,42027,no,Work in progress,0,0,0,0,0,no,no,"[48.81273885275313, 2.3707932870538655]"
2020-02-08 12:44:01,307686d0eb790b3eb0c61a8d2fd2f91f285bec1d,Pyrénées - Ménilmontant,20035,no,Operative,24,26,0,1,1,yes,no,"[48.8693268535238, 2.395084574818611]"
2020-02-08 12:44:01,e7e052c14c9fac3425e83e73da9e96daceb39ece,Raspail - Varenne,7004,no,Operative,11,18,0,5,2,yes,no,"[48.85314781654488, 2.3263905197381973]"
2020-02-08 12:44:01,767fd6d838c961be79b03e3cd0a8519c8b76013b,Caire - Dussoubs,2017,no,Operative,35,40,0,3,2,yes,no,"[48.86785342111862, 2.349364310503006]"
2020-02-08 12:44:01,0aa865c3956c417ac3a3d058afc836f38dde727b,Tour d'Auvergne - Rodier,9008,no,Operative,16,17,0,0,0,yes,no,"[48.879161, 2.343698]"
2020-02-08 12:44:01,701b5d7c80387d2512a05969f57cce28b0fa9c3a,Marceau - Chaillot,8048,no,Operative,15,21,0,0,6,yes,no,"[48.86883394989261, 2.2989967837929726]"
2020-02-08 12:44:01,763508dd6d4cd98fd3c3377d73e17eed18f35dd6,Liard - Amiral Mouchez,14013,yes,Operative,0,1,0,5,3,yes,no,"[48.8214169, 2.342167]"
2020-02-08 12:44:01,f51bf8c13cfe8058d4a2ebc04c443267320afed4,Las Cases - Bourgogne,7011,no,Operative,17,22,0,3,2,yes,no,"[48.85909110474066, 2.3185685276985173]"
2020-02-08 12:44:01,9cc2a3c521256f16f9805c3efd46bf57f2b14799,Félix Ziem - Armand Gauthier,18111,no,Operative,13,22,0,3,5,yes,no,"[48.88949630486821, 2.333393658804396]"
2020-02-08 12:44:01,9af9f56adc5d5641a4320869b0a85b1a8ea375c3,Jonquière - Docteur Paul Brousse,17010,yes,Operative,16,40,0,19,3,yes,no,"[48.894799816683985, 2.318705212173216]"
2020-02-08 12:44:01,d634105e623ae32c094d085c5e655fe4617b66df,Gare de Nogent-le-Perreux,41303,no,Operative,0,32,0,24,8,yes,no,"[48.83842553348809, 2.493693307042122]"
2020-02-08 12:44:01,f12aad640fa2977359acc4e6884c925ceac318e3,Youri Gagarine - Karl Marx,48003,no,Operative,19,22,0,1,2,yes,no,"[48.78448485079149, 2.35908430069685]"
2020-02-08 12:44:01,c61ca53cb8ff9c597ecd731bd95be6a787bf46a6,Octave Feuillet - Albéric Magnard,16110,no,Operative,20,21,0,0,1,yes,no,"[48.86106902949534, 2.2730283066630363]"
2020-02-08 12:44:01,a9541eafa97412363731d41b674a624e6ac9a64c,Ney - Porte de Clignancourt,18134,no,Operative,18,25,0,3,4,yes,no,"[48.8978867, 2.3458001]"
2020-02-08 12:44:01,94b8ef3b495cd78b24cc117b017bb88b60c08e78,Edgar Quinet - Raspail,14002,yes,Operative,39,45,0,3,3,yes,no,"[48.83940266673835, 2.32971478253603]"
2020-02-08 12:44:01,041f38d88acf427bfafdd2fe63a7cbbcfdfb7cbe,Gay Lussac - Saint-Jacques,5005,no,Operative,20,24,0,0,3,yes,no,"[48.844730256132095, 2.341923944866407]"
2020-02-08 12:44:01,1700ba1f76701e86eb31fccbb94c55cb2d9ec154,Place Jean-Spire-Lemaître,43009,yes,Operative,33,50,1,9,8,yes,no,"[48.8468428626593, 2.452062070369721]"
2020-02-08 12:44:01,97773c575e24832dca17d67f584c80a9f238afc8,Place Georges Guillaumin,8053,no,Operative,26,29,0,1,2,yes,no,"[48.874750203956566, 2.301771435325988]"
2020-02-08 12:44:01,4d2fac06db6aa61ad79e416d72f7df690786e10a,Bellefond - Poissonnière,9001,yes,Operative,15,17,0,1,1,yes,no,"[48.87759897050706, 2.348463758826256]"
2020-02-08 12:44:01,24291eb7d7766bbc5343005823f55af9aedb4386,Jean Oestreicher - Porte de Champerret,17032,no,Operative,18,21,0,1,2,yes,no,"[48.88655580065981, 2.288640439510346]"
2020-02-08 12:44:01,55082be76155d12285934b94e8dba98006bfeeb2,Square Louis XVI,8016,yes,Operative,19,29,0,7,3,yes,no,"[48.87320440102894, 2.323658830743138]"
2020-02-08 12:44:01,c97983149a3b6816b43077b082e76bc09a8aa450,Alexandre Parodi - Quai de Valmy,10162,yes,Operative,17,24,0,5,2,yes,no,"[48.87935941942529, 2.366596162319184]"
2020-02-08 12:44:01,78631000b098078bdd60819f11fe980b67e3d48a,Granges aux Belles,10115,no,Operative,0,0,0,1,1,yes,no,"[48.8761373390584, 2.3680844979417]"
2020-02-08 12:44:01,4168122b633eec840c8fb5739a06469dd7c07283,Regnault - Patay,13118,no,Operative,50,63,0,10,3,yes,no,"[48.82435782216384, 2.377065159380436]"
2020-02-08 12:44:01,8b32a3dfabb14232d719f8944dcfab9b5001a466,Gare Saint-Lazare - Place de Budapest,9035,yes,Operative,40,44,0,0,3,yes,no,"[48.877753, 2.327339]"
2020-02-08 12:44:01,15c97b64e634eb557549f4e1a874ac152106fdad,Dunkerque - Alsace,10027,no,Operative,14,18,0,2,2,yes,no,"[48.879355, 2.358379]"
2020-02-08 12:44:01,d33167989d2bcbc4c62f01f2c753d95b20713969,Clignancourt - Ordener,18024,yes,Operative,27,35,0,3,5,yes,no,"[48.891457726153774, 2.348636478060487]"
2020-02-08 12:44:01,d8c43212eb68d0bab1cd494719140b3d81de59d5,Dunkerque - Rocroy,10029,no,Operative,22,23,0,1,0,yes,no,"[48.880726, 2.351464]"
2020-02-08 12:44:01,920e0c2c836e574729a55cba1e42159f05d414cd,Ségur - d'Estrées,7018,no,Operative,19,19,0,0,0,yes,no,"[48.85141997898257, 2.3097044974565506]"
2020-02-08 12:44:01,13ca6d730d13a8cfc05f47f3f746bbe0f8f7ea8e,Abbeville - Faubourg Poissonnière,9002,yes,Operative,11,14,0,3,0,yes,no,"[48.879223, 2.349147]"
2020-02-08 12:44:01,7bf90a297bb5942d9bf7a3342acd035b102b7d4d,Boulangers - Cardinal Lemoine,5022,yes,Operative,16,20,0,1,2,yes,no,"[48.8462904, 2.3521495]"
2020-02-08 12:44:01,087f4107f3ecfed425060e409a1e89c7e1d167af,Boudreau - Auber,9106,no,Operative,0,14,0,9,5,yes,no,"[48.87219, 2.329423]"
2020-02-08 12:44:01,900e7e11fdeeed996dd4db65d1840ed8da3d17e8,Gabriel Lamé,12031,yes,Operative,0,0,0,7,9,yes,no,"[48.8351212784276, 2.385534569621086]"
2020-02-08 12:44:01,0250915195ed54d93614b94a112ecc216803e900,Gare de l'Est - Faubourg-Saint-Martin,10161,yes,Operative,23,32,0,5,4,yes,no,"[48.87564264747718, 2.3594588041305546]"
2020-02-08 12:44:01,81294885ac7e941a72f83163d08bae5f0def6487,Pereire - Ternes,17040,yes,Operative,42,48,0,4,2,yes,no,"[48.87973954830735, 2.288012132048607]"
2020-02-08 12:44:01,0c2d9db44d661f12159fcd0ffc334bae0fbf98b0,Douai - Bruxelles,9038,no,Operative,25,27,0,1,1,yes,no,"[48.88320784122797, 2.3308449949028507]"
2020-02-08 12:44:01,be2ca8e4341798c0a25e5b976cd6cbff5179c11d,Champ de Mars - Cler,7020,yes,Operative,18,41,0,15,8,yes,no,"[48.856691550115315, 2.306646779179573]"
2020-02-08 12:44:01,52d5feeca9f3508c3581641187e5ee8e0207b7b9,Gare Saint-Lazare - Isly,8009,yes,Operative,4,27,0,13,10,yes,no,"[48.874777677621296, 2.326515804784655]"
2020-02-08 12:44:01,0b25bb2b33f9b1d06b72cabdb466c38e1e77dec4,Quai de l'Horloge - Pont Neuf,1001,yes,Operative,6,17,0,8,3,yes,no,"[48.857058739111096, 2.341798283943937]"
2020-02-08 12:44:01,b57ed60f579882dda67e474402e76742dd4aead6,Ambroise Rendu - Porte Brunet,19105,no,Operative,9,17,0,2,6,yes,no,"[48.883667, 2.395733]"
2020-02-08 12:44:01,05b6f3efda1c8d0286c41ff9b3fab330acacde72,Henri Barbusse - Stalingrad,22409,yes,Operative,8,16,0,4,4,yes,no,"[48.814580710238836, 2.2875300049781804]"
2020-02-08 12:44:01,3eaf9ff5d855600d322207474709aa73b2551a99,Institut de France,6001,yes,Operative,4,17,0,7,6,yes,no,"[48.85761567856468, 2.335831353037739]"
2020-02-08 12:44:01,4e244932b9529786c7987a26384efb88b2a9f3b0,Saint-François-Xavier,7014,yes,Operative,20,42,0,14,7,yes,no,"[48.851544847689894, 2.3146149516105656]"
2020-02-08 12:44:01,873267c3289b70fcba85086aab17f84bc876a53a,Porte Pouchet-Bessières,17008,no,Operative,12,23,0,5,6,yes,no,"[48.8978765, 2.3230632]"
2020-02-08 12:44:01,66ec4212473e6fe521872d5f82085658fec66f57,Vigée-Lebrun - Anselme Payen,15112,no,Operative,22,24,0,1,0,yes,no,"[48.838683941628375, 2.3110422492027287]"
2020-02-08 12:44:01,32fbdc1e49f22c4bc2ebc92c1827aae72e510800,Institut du Monde Arabe - Saint-Germain,5020,yes,Operative,27,40,0,9,4,yes,no,"[48.84906329950134, 2.3558086529374123]"
2020-02-08 12:44:01,095414292d52ce5cd462629a27639ececf8f1bec,Octave Gréard - Tour Eiffel,7025,yes,Operative,18,31,0,11,3,yes,no,"[48.856502977695634, 2.293178754328878]"
2020-02-08 12:44:01,f9cbaf88af72c4b0c0adabe8323877ef6dccc458,Château - République,31706,no,Operative,16,26,0,7,3,yes,no,"[48.8629238005955, 2.415503561496735]"
2020-02-08 12:44:01,0128870bd72d8d2d294f0907c1938fb42f5f5059,Moncey - Blanche,9028,no,Operative,17,17,0,0,0,yes,no,"[48.88006587474148, 2.3310810327529907]"
2020-02-08 12:44:01,047403126014e05307d9dc8f6c9e5ec06c73e68c,Rochechouart lamartine,9010,yes,Operative,13,24,0,8,3,yes,no,"[48.876719895109, 2.344393021853951]"
2020-02-08 12:44:01,06af1f9885827493c7c489b9efc614d1cbf8791b,Gare du Nord - Hôpital Lariboisière,10107,no,Operative,41,49,0,4,3,yes,no,"[48.881949, 2.352339]"
2020-02-08 12:44:01,aaf9dfc174197e2d28a362c2d0e7822689b4cb2a,Jemmapes - Ecluses Saint-Martin,10025,yes,Operative,11,15,0,1,2,yes,no,"[48.87748519186726, 2.3660067468881607]"
2020-02-08 12:44:01,43114c0680d7471eea6165dad08c3e68b7d441a2,Thionville - Ourcq,19015,yes,Operative,24,24,0,0,0,yes,no,"[48.88917613743794, 2.3833653330802917]"
2020-02-08 12:44:01,39168f70cea86b7e334e044de5bc057e8a1f97c7,Mairie du 17ème,17012,no,Operative,17,24,0,6,1,yes,no,"[48.88416184871573, 2.322079431103719]"
2020-02-08 12:44:01,96a672acf7f500fbacf40ca5d23a3dcf0789baca,Legendre - Clichy,17004,yes,Operative,38,40,1,1,1,yes,no,"[48.88896161855884, 2.322528975094376]"
2020-02-08 12:44:01,cabf7bf7f1a69a7a09a1f781508350054945db96,Quai de la Seine,19003,yes,Operative,11,24,0,5,4,yes,no,"[48.884492238407525, 2.3703941702842717]"
2020-02-08 12:44:01,36865ee5547cae077d0db4893284a9fb6b4c697d,Lisbonne - Monceau,8036,yes,Operative,26,33,0,5,2,yes,no,"[48.87745567681383, 2.309694221419506]"
2020-02-08 12:44:01,f3ff73e50334d9204e396229658080f7a4418bb4,Cité Riverin - Château d'Eau,10008,yes,Operative,2,18,0,13,2,yes,no,"[48.870702423554306, 2.358739863900845]"
2020-02-08 12:44:01,09a32f353e0d9bc6f851e18434f5e336a2a3c96e,Mutualité,5018,yes,Operative,17,36,0,15,5,yes,no,"[48.8482255727241, 2.350287325680256]"
2020-02-08 12:44:01,30c0fc97dbf71d1a3e78a56f5ba2ab3b35fc8a10,Chartres - La Charbonnière,18107,no,Operative,7,34,0,25,2,yes,no,"[48.8847601, 2.3534657]"
2020-02-08 12:44:01,3f4e1330ca56ea4e05d19715cf577392c8212763,Gare de Lyon - Place Louis Armand,12151,yes,Operative,0,5,0,26,6,yes,no,"[48.8455150897939, 2.3726498446286]"
2020-02-08 12:44:01,677bc041691ce62b69d6a435ca0fc71eaaad6b77,Rossini - Laffitte,9022,no,Operative,19,33,0,8,4,yes,no,"[48.87334627510507, 2.337980867701675]"
2020-02-08 12:44:01,d6d734db306f77650d0e25826f92b3cc1e324498,Pyrénées - Emmery,20042,no,Operative,36,40,0,0,2,yes,no,"[48.872010281270974, 2.392039597034455]"
2020-02-08 12:44:01,8b9b5e0258290d181a5073d98e40f8b38f5645c5,Saint-Ambroise - Parmentier,11027,no,Operative,10,13,0,0,3,yes,no,"[48.86214784454763, 2.3772348091006275]"
2020-02-08 12:44:01,f89838586ec784c79153ff911d620e5d866fc280,Belidor - Gouvion-Saint-Cyr,17043,yes,Operative,4,5,0,10,1,yes,no,"[48.88022154052015, 2.2854680567979813]"
2020-02-08 12:44:01,07db7db83c0f2b40c392608891d094b49a5ebef4,Place de Rhin et Danube,19026,no,Operative,14,16,0,0,2,yes,no,"[48.88192765861766, 2.392586767673493]"
2020-02-08 12:44:01,5ff3d8e2098e136bb0bccd7b5705b33a1f5c2be5,Roquette - Thiéré,11002,yes,Operative,9,22,0,12,2,yes,no,"[48.85507930579506, 2.3733686318721463]"
2020-02-08 12:44:01,4ff16a6c0b87d68becdf7756b70900f0df2d164f,Berri - Haussmann,8034,no,Operative,34,35,0,0,1,yes,no,"[48.874746047357135, 2.3082953318953514]"
2020-02-08 12:44:01,489821908471308c1bc4df47dcaba50877c2a5a7,Saint-Maur - Roquette,11023,yes,Operative,28,46,0,16,1,yes,no,"[48.858688774062955, 2.383553994571467]"
2020-02-08 12:44:01,bbbce9450629033964389aba35bd0902e311185f,11 Novembre 1918 - 8 Mai 1945,45003,no,Operative,22,36,0,3,11,yes,no,"[48.80889533774377, 2.5382421165704727]"
2020-02-08 12:44:01,4e2502f0e59fa5bd7b4dfb1c7de0200d7a35cf73,Place Du Général De Gaulle,31009,no,Operative,25,26,0,0,1,yes,no,"[48.8687591, 2.4329931]"
